Epoch 177/1000 | Loss: 0.0194 | Precision: 0.8081 | Recall: 0.6291 | F1: 0.6852
Epoch 178/1000 | Loss: 0.0193 | Precision: 0.8150 | Recall: 0.6340 | F1: 0.6907
Epoch 179/1000 | Loss: 0.0192 | Precision: 0.8125 | Recall: 0.6320 | F1: 0.6885
Epoch 180/1000 | Loss: 0.0193 | Precision: 0.8165 | Recall: 0.6350 | F1: 0.6917
Epoch 181/1000 | Loss: 0.0193 | Precision: 0.8126 | Recall: 0.6323 | F1: 0.6880
Epoch 182/1000 | Loss: 0.0193 | Precision: 0.8156 | Recall: 0.6354 | F1: 0.6914
Epoch 183/1000 | Loss: 0.0192 | Precision: 0.8155 | Recall: 0.6364 | F1: 0.6930
Epoch 184/1000 | Loss: 0.0192 | Precision: 0.8137 | Recall: 0.6349 | F1: 0.6908
Epoch 185/1000 | Loss: 0.0192 | Precision: 0.8158 | Recall: 0.6354 | F1: 0.6918
Epoch 186/1000 | Loss: 0.0192 | Precision: 0.8141 | Recall: 0.6364 | F1: 0.6923
Epoch 187/1000 | Loss: 0.0193 | Precision: 0.8171 | Recall: 0.6371 | F1: 0.6925
Epoch 188/1000 | Loss: 0.0191 | Precision: 0.8194 | Recall: 0.6382 | F1: 0.6950
Epoch 189/1000 | Loss: 0.0192 | Precision: 0.8161 | Recall: 0.6360 | F1: 0.6921
Epoch 190/1000 | Loss: 0.0193 | Precision: 0.8126 | Recall: 0.6352 | F1: 0.6907
Epoch 191/1000 | Loss: 0.0191 | Precision: 0.8163 | Recall: 0.6389 | F1: 0.6945
Epoch 192/1000 | Loss: 0.0191 | Precision: 0.8170 | Recall: 0.6386 | F1: 0.6950
Epoch 193/1000 | Loss: 0.0190 | Precision: 0.8159 | Recall: 0.6396 | F1: 0.6952
Epoch 194/1000 | Loss: 0.0191 | Precision: 0.8147 | Recall: 0.6377 | F1: 0.6930
Epoch 195/1000 | Loss: 0.0190 | Precision: 0.8193 | Recall: 0.6415 | F1: 0.6974
Epoch 196/1000 | Loss: 0.0190 | Precision: 0.8196 | Recall: 0.6408 | F1: 0.6968
Epoch 197/1000 | Loss: 0.0190 | Precision: 0.8237 | Recall: 0.6419 | F1: 0.6991
Epoch 198/1000 | Loss: 0.0191 | Precision: 0.8182 | Recall: 0.6403 | F1: 0.6959
Epoch 199/1000 | Loss: 0.0191 | Precision: 0.8187 | Recall: 0.6409 | F1: 0.6972
Epoch 200/1000 | Loss: 0.0190 | Precision: 0.8222 | Recall: 0.6447 | F1: 0.7005
Epoch 201/1000 | Loss: 0.0191 | Precision: 0.8179 | Recall: 0.6408 | F1: 0.6959
Epoch 202/1000 | Loss: 0.0189 | Precision: 0.8270 | Recall: 0.6477 | F1: 0.7047
Epoch 203/1000 | Loss: 0.0190 | Precision: 0.8190 | Recall: 0.6424 | F1: 0.6983
Epoch 204/1000 | Loss: 0.0189 | Precision: 0.8197 | Recall: 0.6439 | F1: 0.6996
Epoch 205/1000 | Loss: 0.0190 | Precision: 0.8197 | Recall: 0.6438 | F1: 0.6993
Epoch 206/1000 | Loss: 0.0190 | Precision: 0.8185 | Recall: 0.6417 | F1: 0.6978
Epoch 207/1000 | Loss: 0.0190 | Precision: 0.8200 | Recall: 0.6459 | F1: 0.7007
Epoch 208/1000 | Loss: 0.0189 | Precision: 0.8193 | Recall: 0.6422 | F1: 0.6984
Epoch 209/1000 | Loss: 0.0189 | Precision: 0.8208 | Recall: 0.6430 | F1: 0.6990
Epoch 210/1000 | Loss: 0.0190 | Precision: 0.8198 | Recall: 0.6435 | F1: 0.6990
Epoch 211/1000 | Loss: 0.0189 | Precision: 0.8239 | Recall: 0.6467 | F1: 0.7020
Epoch 212/1000 | Loss: 0.0189 | Precision: 0.8214 | Recall: 0.6451 | F1: 0.7008
Epoch 213/1000 | Loss: 0.0189 | Precision: 0.8234 | Recall: 0.6471 | F1: 0.7030
Epoch 214/1000 | Loss: 0.0189 | Precision: 0.8227 | Recall: 0.6470 | F1: 0.7021
